[2026-07-26 21:13:15] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:15] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:16] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:16] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:16] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:16] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:17] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:17] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:17] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:17] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:18] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:18] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:18] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:18] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:19] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:19] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:19] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:19] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:20] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:20] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:20] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:20] [CAM] 摄像头未检测到，等待重连...
[2026-07-26 21:13:21] [CAM] 摄像头捕获器已释放
[2026-07-26 21:13:21] [CAM] 摄像头未检测到，等待重连...
