[2026-08-02 09:55:40] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:40] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:40] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:41] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:41] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:41] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:41] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:42] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:42] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:42] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:42] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:43] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:43] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:43] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:43] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 09:55:44] [CAM] 摄像头捕获器已释放
[2026-08-02 09:55:44] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:42] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:42] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:43] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:43] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:43] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:43] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:44] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:44] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:44] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:44] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:45] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:45] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:45] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:45] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:46] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:46] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:46] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:46] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:47] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:47] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:47] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:47] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:48] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:48] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:48] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:48] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:49] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:49] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:49] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:49] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:50] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:50] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:50] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:50] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:51] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:51] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:51] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:51] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:52] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:52] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:52] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:52] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:53] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:53] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:53] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:53] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:54] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:54] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:54] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:54] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:55] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:55] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:55] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:55] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:56] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:56] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:56] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:56] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:57] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:57] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:57] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:57] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:58] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:58] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:58] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:58] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:59] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:59] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:30:59] [CAM] 摄像头捕获器已释放
[2026-08-02 20:30:59] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:00] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:00] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:00] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:00] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:01] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:01] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:01] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:01] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:02] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:02] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:02] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:02] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:03] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:03] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:03] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:03] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:04] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:04] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:04] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:04] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:05] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:05] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:05] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:05] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:06] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:06] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:06] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:06] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:07] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:07] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:07] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:07] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:08] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:08] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:08] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:08] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:09] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:09] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:09] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:09] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:10] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:10] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:10] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:10] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:11] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:11] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:11] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:11] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:12] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:12] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:12] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:12] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:13] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:13] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:13] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:13] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:14] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:14] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:14] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:14] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:15] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:15] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:15] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:15] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:16] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:16] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:16] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:16] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:17] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:17] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:17] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:17] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:18] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:18] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:18] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:18] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:19] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:19] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:19] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:19] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:20] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:20] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:20] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:20] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:21] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:21] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:21] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:21] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:22] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:22] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:22] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:22] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:23] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:23] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:23] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:23] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:24] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:24] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:24] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:24] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:25] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:25] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:25] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:25] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:26] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:26] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:26] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:26] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:27] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:27] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:27] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:27] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:28] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:28] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:28] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:28] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:29] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:29] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:29] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:29] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:30] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:30] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:30] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:30] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:31] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:31] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:31] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:31] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:32] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:32] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:32] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:32] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:33] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:33] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:33] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:33] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:34] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:34] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:34] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:34] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:35] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:35] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:35] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:35] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:36] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:36] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:36] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:36] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:37] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:37] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:37] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:37] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:38] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:38] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:38] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:38] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:39] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:39] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:39] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:39] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:40] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:40] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:40] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:40] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:41] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:41] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:41] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:41] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:42] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:42] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:42] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:42] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:43] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:43] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:43] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:43] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:44] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:44] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:44] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:44] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:45] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:45] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:45] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:45] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:46] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:46] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:46] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:46] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:47] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:47] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:47] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:47] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:48] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:48] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:48] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:48] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:49] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:49] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:49] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:49] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:50] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:50] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:50] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:50] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:51] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:51] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:51] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:51] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:52] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:52] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:52] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:52] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:53] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:53] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:53] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:53] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:54] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:54] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:54] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:54] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:55] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:55] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:55] [CAM] 摄像头捕获器已释放
